OBJECTID_1,OBJECTID,Shape_Leng,zone,LocationID,borough,ORIG_FID,centroid_x,centroid_y,Point
1,25,0.04714582,Boerum Hill,25,Brooklyn,24,988101.2213,189071.5793,988101.2212882638 189071.57925575972
2,33,0.053270293,Brooklyn Heights,33,Brooklyn,32,985567.1394,192774.4925,985567.1394141763 192774.49245359004
3,45,0.045906863,Chinatown,45,Manhattan,44,984762.4694,198844.6362,984762.4694355875 198844.63615317643
4,65,0.044607068,Downtown Brooklyn/MetroTech,65,Brooklyn,64,988108.3768,192606.9485,988108.3767857552 192606.94849734008
5,66,0.054633459,DUMBO/Vinegar Hill,66,Brooklyn,65,988214.5459,195128.6636,988214.5458647609 195128.66359825432
6,87,0.03690155,Financial District North,87,Manhattan,86,982171.7279,196785.9408,982171.7278979272 196785.940795511
7,88,0.035204604,Financial District South,88,Manhattan,87,981057.2642,195528.9249,981057.2642475963 195528.9249368459
8,209,0.030695311,Seaport,209,Manhattan,208,983234.0457,197610.8237,983234.045655176 197610.82366016507
