zone,time_bin_label,avg_requests
25,18:00,2.0
25,18:05,2.4
25,18:10,2.2
25,18:15,2.75
25,18:20,2.25
25,18:25,2.25
25,18:30,3.0
25,18:35,2.4
25,18:40,3.6
25,18:45,2.6
25,18:50,4.4
25,18:55,2.8
25,19:00,4.2
25,19:05,2.75
25,19:10,2.0
25,19:15,2.4
25,19:20,2.8
25,19:25,3.2
25,19:30,2.75
25,19:35,2.6
25,19:40,2.6666666666666665
25,19:45,2.5
25,19:50,4.0
25,19:55,6.0
33,18:00,3.0
33,18:05,3.75
33,18:10,2.4
33,18:15,2.0
33,18:20,2.8
33,18:25,4.6
33,18:30,3.75
33,18:35,2.0
33,18:40,3.5
33,18:45,5.25
33,18:50,2.8
33,18:55,3.2
33,19:00,1.8
33,19:05,3.0
33,19:10,2.25
33,19:15,2.4
33,19:20,2.8
33,19:25,3.0
33,19:30,1.8
33,19:35,2.3333333333333335
33,19:40,3.0
33,19:45,2.8
33,19:50,6.0
33,19:55,5.0
45,18:00,1.6666666666666667
45,18:05,1.5
45,18:10,2.0
45,18:15,1.5
45,18:20,2.0
45,18:25,1.5
45,18:30,1.0
45,18:35,2.0
45,18:40,1.5
45,18:45,1.25
45,18:50,1.25
45,18:55,2.0
45,19:00,2.0
45,19:05,2.4
45,19:10,1.3333333333333333
45,19:15,1.3333333333333333
45,19:20,2.0
45,19:25,1.25
45,19:30,1.0
45,19:35,1.0
45,19:40,2.0
45,19:45,1.3333333333333333
45,19:50,2.0
45,19:55,2.0
65,18:00,2.4
65,18:05,3.5
65,18:10,2.6
65,18:15,2.0
65,18:20,3.8
65,18:25,3.8
65,18:30,3.4
65,18:35,3.2
65,18:40,3.0
65,18:45,3.8
65,18:50,3.6
65,18:55,2.3333333333333335
65,19:00,2.2
65,19:05,2.0
65,19:10,3.4
65,19:15,1.6666666666666667
65,19:20,3.75
65,19:25,3.2
65,19:30,2.2
65,19:35,3.3333333333333335
65,19:40,3.6
65,19:45,1.6
65,19:50,3.8
65,19:55,2.25
66,18:00,2.4
66,18:05,3.25
66,18:10,2.6
66,18:15,3.8
66,18:20,2.0
66,18:25,2.2
66,18:30,2.5
66,18:35,3.0
66,18:40,2.0
66,18:45,3.0
66,18:50,2.6
66,18:55,2.75
66,19:00,1.8
66,19:05,2.5
66,19:10,3.0
66,19:15,2.6
66,19:20,1.8
66,19:25,1.6
66,19:30,3.0
66,19:35,2.0
66,19:40,3.75
66,19:45,2.8
66,19:50,4.25
66,19:55,2.75
87,18:00,1.25
87,18:05,1.6666666666666667
87,18:10,1.25
87,18:15,2.0
87,18:20,2.5
87,18:25,1.25
87,18:30,2.25
87,18:35,3.5
87,18:40,2.5
87,18:45,2.25
87,18:50,2.0
87,18:55,1.0
87,19:00,2.0
87,19:05,1.8
87,19:10,2.0
87,19:15,2.0
87,19:20,1.5
87,19:25,2.2
87,19:30,2.25
87,19:35,2.2
87,19:40,3.75
87,19:45,1.5
87,19:50,2.6666666666666665
87,19:55,1.6666666666666667
88,18:00,1.3333333333333333
88,18:05,2.0
88,18:10,1.0
88,18:15,2.3333333333333335
88,18:20,1.25
88,18:25,1.0
88,18:30,1.25
88,18:35,1.0
88,18:40,2.0
88,18:45,1.3333333333333333
88,18:50,1.0
88,18:55,1.3333333333333333
88,19:00,1.25
88,19:05,1.0
88,19:10,1.0
88,19:15,1.5
88,19:20,2.3333333333333335
88,19:25,2.3333333333333335
88,19:30,1.5
88,19:35,1.0
88,19:40,1.0
88,19:45,1.6666666666666667
88,19:50,1.0
88,19:55,1.25
209,18:05,1.0
209,18:10,3.0
209,18:15,1.6666666666666667
209,18:20,1.0
209,18:25,1.6666666666666667
209,18:30,2.0
209,18:35,1.5
209,18:40,1.0
209,18:45,1.5
209,18:50,2.0
209,18:55,1.5
209,19:00,1.0
209,19:05,1.0
209,19:10,1.0
209,19:15,3.5
209,19:20,1.0
209,19:25,1.0
209,19:30,1.5
209,19:35,1.0
209,19:40,2.0
209,19:45,1.3333333333333333
209,19:50,2.0
209,19:55,1.6666666666666667
