zone,time_bin_label,avg_requests
25,18:00,12.4
25,18:30,18.2
25,19:00,16.8
25,19:30,15.2
33,18:00,17.8
33,18:30,18.0
33,19:00,14.2
33,19:30,18.2
45,18:00,5.6
45,18:30,5.6
45,19:00,7.0
45,19:30,5.2
65,18:00,17.4
65,18:30,18.4
65,19:00,14.4
65,19:30,15.0
66,18:00,14.8
66,18:30,14.2
66,19:00,11.6
66,19:30,14.8
87,18:00,8.0
87,18:30,9.4
87,19:00,10.4
87,19:30,10.8
88,18:00,5.4
88,18:30,5.6
88,19:00,5.8
88,19:30,5.2
209,18:00,3.6
209,18:30,3.6
209,19:00,7.5
209,19:30,4.8
