zone,time_bin_label,avg_requests
25,18:00,8.8
25,18:20,8.4
25,18:40,13.4
25,19:00,10.8
25,19:20,10.8
25,19:40,13.0
33,18:00,10.4
33,18:20,12.4
33,18:40,13.0
33,19:00,8.4
33,19:20,9.0
33,19:40,15.0
45,18:00,4.0
45,18:20,4.4
45,18:40,3.6
45,19:00,4.8
45,19:20,3.0
45,19:40,4.4
65,18:00,9.8
65,18:20,14.2
65,18:40,11.8
65,19:00,8.2
65,19:20,10.4
65,19:40,10.8
66,18:00,11.4
66,18:20,8.4
66,18:40,9.2
66,19:00,8.2
66,19:20,6.8
66,19:40,11.4
87,18:00,5.0
87,18:20,6.2
87,18:40,6.2
87,19:00,7.0
87,19:20,7.4
87,19:40,6.8
88,18:00,4.0
88,18:20,3.2
88,18:40,3.8
88,19:00,3.0
88,19:20,4.8
88,19:40,4.0
209,18:00,2.2
209,18:20,2.4
209,18:40,2.6
209,19:00,6.0
209,19:20,2.0
209,19:40,3.8
