hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,pu_x,pu_y,do_x,do_y
HV0003,B03404,B03404,2025-07-03 18:55:28,2025-07-03 18:58:06,2025-07-03 18:58:06,2025-07-03 19:07:00,25,66,1.33,533,17.89,0.0,0.45,1.58,0.0,0.0,0.0,10.26,N,N,N,N,N,0.0,987328.6558474442,188793.9742514992,987779.1208508746,195431.278301798
HV0003,B03404,B03404,2025-07-03 18:00:53,2025-07-03 18:04:28,2025-07-03 18:05:05,2025-07-03 18:08:32,66,66,0.27,208,7.21,0.0,0.18,0.64,0.0,0.0,0.0,4.0,N,N,N,N,N,0.0,987928.7083673576,196200.6345691181,988080.7888853725,195587.58197953628
HV0005,B03406,,2025-07-03 18:49:45,2025-07-03 18:53:38,2025-07-03 18:54:38,2025-07-03 19:09:01,209,66,2.098,863,43.13,0.0,1.06,3.76,2.75,0.0,0.0,29.13,N,N,N,N,N,1.5,982891.5353156804,196533.34108974997,988527.9969702596,194727.99580675288
HV0003,B03404,B03404,2025-07-03 18:13:34,2025-07-03 18:15:41,2025-07-03 18:15:55,2025-07-03 18:34:36,65,33,2.44,1121,18.28,0.0,0.48,1.73,0.0,0.0,0.0,16.11,N,N,N,N,N,0.0,987817.4692423604,192834.7236737024,985112.1594737828,192919.2280266343
HV0005,B03406,,2025-07-03 18:34:41,2025-07-03 18:40:23,2025-07-03 18:41:23,2025-07-03 18:50:28,87,45,1.056,545,11.39,0.0,0.26,0.94,2.75,0.0,0.0,7.02,N,N,N,N,N,1.5,982563.770173292,197924.2106467214,985406.0313204252,199396.7818151271
HV0003,B03404,B03404,2025-07-03 18:15:27,2025-07-03 18:21:38,2025-07-03 18:23:10,2025-07-03 18:35:24,87,87,1.49,734,14.3,0.0,0.32,1.26,2.75,0.0,0.0,9.68,N,N,N,N,N,1.5,982875.176685493,196879.9020969576,982955.862370315,196892.6107561186
HV0003,B03404,B03404,2025-07-03 18:08:29,2025-07-03 18:15:00,2025-07-03 18:15:43,2025-07-03 18:24:51,45,87,1.12,548,15.53,0.0,0.35,1.38,2.75,0.0,3.0,7.3,N,N,N,N,N,1.5,984316.7616662126,199656.64991567368,982651.164357511,197381.24418544795
HV0003,B03404,B03404,2025-07-03 18:32:48,2025-07-03 18:33:47,2025-07-03 18:34:11,2025-07-03 18:37:35,87,88,0.4,204,15.96,0.0,0.36,1.42,2.75,0.0,0.0,7.29,N,N,N,N,N,1.5,981987.4461248368,196456.8621818927,982089.6156795592,195763.5085121308
HV0003,B03404,B03404,2025-07-03 18:36:47,2025-07-03 18:40:31,2025-07-03 18:42:03,2025-07-03 18:50:00,88,33,2.71,476,27.53,0.0,0.63,2.41,2.75,0.0,0.0,12.82,N,N,N,N,N,1.5,980848.727298923,194902.7807805516,985409.155513474,193386.91981263456
HV0003,B03404,B03404,2025-07-03 18:01:24,2025-07-03 18:04:12,2025-07-03 18:05:29,2025-07-03 18:16:00,33,65,0.93,631,8.26,0.0,0.15,0.55,0.0,0.0,0.0,7.67,N,N,N,N,N,0.0,985334.6293544144,192657.9383350108,987482.0313924652,193184.1652225529
HV0003,B03404,B03404,2025-07-03 18:08:54,2025-07-03 18:12:52,2025-07-03 18:14:10,2025-07-03 18:31:32,209,25,2.78,1042,37.09,0.0,0.89,3.3,2.75,0.0,0.0,22.51,N,N,N,N,N,1.5,983599.374002906,197416.7795324495,988809.5449274236,189617.72608132928
